"";"TA";"doc";"url";"page";"term";"portfolio";"context"
"3240";"TA554";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document-2#page=11";"11";"managed access";"0";"                                The contents of this document have been                                        redacted as they are confidential - A glossary of terms relating to managed access agreements in the Cancer Drugs Fund is available here."
"3235";"TA554";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document-2#page=2";"2";"managed access";"0";"          in second or later relapse [ID1167] (to be updated with TA number after final           guidance has been published). A positive recommendation within the context           of a managed access agreement has been decided by the appraisal           committee. 2            Commencement and period of agreement"
"3236";"TA554";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document-2#page=2";"2";"managed access";"0";"2            Commencement and period of agreement 2.1       This data collection arrangement shall take effect on publication of the           managed access agreement. The data collection period is anticipated to           conclude in June 2023 based on the pivotal ELIANA study. The final patient           in this study will be followed up until this time point. The process for exiting"
"3237";"TA554";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document-2#page=3";"3";"managed access";"0";"                                                         CONFIDENTIAL UNTIL PUBLISHED 2.2       As part of the managed access agreement, the technology will continue to           be available through the Cancer Drugs Fund after the data collection period           has ended and while the guidance is being reviewed. This assumes that the"
"3238";"TA554";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document-2#page=3";"3";"managed access";"0";"          Drugs Fund (CDF) as an option for treating relapsed or refractory B-cell           acute lymphoblastic leukaemia in people aged up to 25 years, only if the           conditions in the managed access agreement are followed. 3.2       Key patient eligibility criteria for the use of tisagenlecleucel in the Cancer           Drugs Fund for treating relapsed or refractory B-cell acute lymphoblastic"
"3241";"TA554";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document#page=1";"1";"managed access";"0";"              Drugs Fund as an option for treating relapsed or refractory B-cell acute               lymphoblastic leukaemia in people aged up to 25 years, only if the               conditions in the managed access agreement are followed. 1.2           This recommendation is not intended to affect both treatment in               preparation for and treatment with tisagenlecleucel that was started in the"
"3242";"TA554";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document#page=3";"3";"managed access";"0";"  Price                                The list price for tisagenlecleucel is £282,000 per                                        infusion (company submission).                                        The company has a managed access agreement                                        including a commercial arrangement (patient access                                        scheme). This makes tisagenlecleucel available to"
"3243";"TA554";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document#page=30";"30";"managed access";"0";"              Drugs Fund to treat relapsed or refractory B-cell acute lymphoblastic               leukaemia in people aged up to 25 years, only if the conditions in the               managed access agreement are followed. Other factors Tisagenlecleucel use in the NHS"
"3244";"TA554";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document#page=31";"31";"managed access";"0";"4.1           When NICE recommends a treatment as an option for use within the               Cancer Drugs Fund, NHS England will make it available according to the               conditions and implementation arrangements in the managed access               agreement (which for tisagenlecleucel, will require that the necessary               infrastructure and safety measures are in place for the treatment to be"
"3245";"TA554";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document#page=31";"31";"managed access";"0";"              thinks that tisagenlecleucel is the right treatment, it should be available for               use, in line with NICE's recommendations and the Cancer Drugs Fund               criteria in the managed access agreement. Further information can be               found in NHS England's Appraisal and funding of cancer drugs from July               2016 (including the new Cancer Drugs Fund) – A new deal for patients,"
"3246";"TA554";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document#page=31";"31";"managed access";"0";"              Fund, the NHS in Wales must usually provide funding and resources for it               within 2 months of the first publication of the final appraisal document or               agreement of a managed access agreement by the NHS in Wales,               whichever is the latter. Final appraisal document – Tisagenlecleucel for treating relapsed or refractory B-cell acute lymphoblastic"
